Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28009983,西宮北口駅,114,赤おに家 西宮北口店,居酒屋、魚介料理・海鮮料理、鍋（その他）,兵庫県西宮市甲風園1丁目4-12 不二家ビルＢ1,68,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28009983/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,鍋（その他）,3.24
28023042,西宮北口駅,392,叶匠壽庵 西宮阪急店,和菓子,兵庫県西宮市高松町14-1 西宮阪急 1F,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28023042/,テイクアウト,和菓子,,,3.19
28048672,西宮北口駅,578,貧頭,カレー（その他）、バー・お酒（その他）,兵庫県西宮市田代町1-2,0,-,999,-,-,,2017年1月31日,2017年1月31日,5,9,https://tabelog.com/hyogo/A2803/A280301/28048672/,多国籍料理,カレー（その他）,,,3.2
28024712,西宮北口駅,176,宮本むなし 阪急西宮北口駅前店,定食・食堂、丼もの（その他）、創作料理,兵庫県西宮市甲風園1-5-11,51,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28024712/,和食,定食・食堂,丼もの（その他）,創作料理,3.03
28018437,西宮北口駅,206,CoCo壱番屋 阪急西宮北口店,カレーライス,兵庫県西宮市甲風園1-7-3,20,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28018437/,多国籍料理,カレーライス,,,3.05
28026196,西宮北口駅,112,TeRRa 西宮北口店,ワインバー、西洋各国料理（その他）、ダイニングバー,兵庫県西宮市高松町10-1,30,-,-,3000,3999,"3,500",2010年4月19日,2010年4月19日,12,7,https://tabelog.com/hyogo/A2803/A280301/28026196/,その他,ワインバー,西洋各国料理（その他）,ダイニングバー,3.38
28048480,西宮北口駅,386,マルトメ ザ ジューサリー 阪急西宮ガーデンズ店,カフェ、ジュースバー、サンドイッチ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F,0,-,999,-,999,999,2017年3月10日,2017年3月10日,5,8,https://tabelog.com/hyogo/A2803/A280301/28048480/,その他,カフェ,ジュースバー,サンドイッチ,3.25
28009342,西宮北口駅,401,さち福や 阪急西宮ガーデンズ店,定食・食堂、天丼・天重、甘味処,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,94,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28009342/,和食,定食・食堂,天丼・天重,甘味処,3.19
28062992,西宮北口駅,328,たけふく 阪急西宮ガーデンズ店,かつ丼・かつ重,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 本館 1F,0,-,999,-,999,999,2022年3月8日,2022年3月8日,0,8,https://tabelog.com/hyogo/A2803/A280301/28062992/,和食,かつ丼・かつ重,,,3.42
28045186,西宮北口駅,276,水輝,ラーメン、餃子,兵庫県西宮市北口町8-13,13,-,999,-,999,999,2015年12月26日,2015年12月26日,6,11,https://tabelog.com/hyogo/A2803/A280301/28045186/,ラーメン,ラーメン,,,3.58
28038108,西宮北口駅,206,阪急ベーカリー　 アクタ西宮店,パン、パン・サンドイッチ（その他）,兵庫県西宮市北口町1-2 アクタ西宮 東館 1F,,-,999,-,-,,2013年6月,2013年6月,9,5,https://tabelog.com/hyogo/A2803/A280301/28038108/,テイクアウト,パン,,,3.03
28021556,西宮北口駅,360,ゴディバ 阪急西宮ガーデンズ店,チョコレート、スイーツ（その他）、カフェ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 2F,,-,999,-,-,,2008年11月,2008年11月,14,0,https://tabelog.com/hyogo/A2803/A280301/28021556/,その他,チョコレート,スイーツ（その他）,カフェ,3.05
